scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,201.28990173339844,174.3067626953125,0.9342887997627258,205.4184112548828,224.30389404296875,0.9619150161743164,203.68280029296875,266.154296875,0.8967816829681396
19,201.9381866455078,173.64364624023438,0.9148528575897217,205.61083984375,224.5721893310547,0.9671932458877563,204.08924865722656,267.26153564453125,0.9140321016311646
20,202.17091369628906,174.2329864501953,0.9106920957565308,205.6693878173828,224.55638122558594,0.9669615626335144,204.52345275878906,265.8004455566406,0.9070038199424744
21,201.65428161621094,174.56008911132812,0.9290215969085693,205.57139587402344,224.67538452148438,0.9656032919883728,204.24497985839844,265.6133117675781,0.9015597701072693
22,201.64111328125,172.4616241455078,0.9160289168357849,205.6910858154297,224.3963623046875,0.966505229473114,204.28369140625,265.9668884277344,0.9054680466651917
23,200.47549438476562,173.7583770751953,0.9190862774848938,205.78602600097656,224.68482971191406,0.9697080850601196,205.08010864257812,266.763671875,0.920961856842041
24,200.99842834472656,172.32122802734375,0.9206027984619141,205.59873962402344,224.85401916503906,0.9630894064903259,205.2882843017578,268.0244140625,0.9274237155914307
25,201.43536376953125,172.88821411132812,0.9190279841423035,205.4727783203125,224.8539581298828,0.958453357219696,205.0684051513672,267.60858154296875,0.9219436049461365
26,199.67274475097656,174.11392211914062,0.9151974320411682,204.7523651123047,224.40426635742188,0.9492923617362976,204.56631469726562,268.1659851074219,0.9144411087036133
27,200.38299560546875,172.01719665527344,0.9212468862533569,204.89158630371094,224.58746337890625,0.9514255523681641,205.46896362304688,267.90826416015625,0.9339187145233154
28,199.27658081054688,173.82186889648438,0.9280021786689758,203.98329162597656,222.9784393310547,0.9510176181793213,204.99806213378906,267.5975341796875,0.9261577725410461
29,199.68679809570312,173.64439392089844,0.9291878938674927,203.90670776367188,222.62908935546875,0.9497667551040649,206.36343383789062,268.0623779296875,0.9313279986381531
30,200.57662963867188,172.0194549560547,0.9295626878738403,203.83551025390625,223.0000762939453,0.953791081905365,207.18231201171875,267.64642333984375,0.9374439120292664
31,200.45458984375,172.201904296875,0.9291990995407104,203.5535430908203,223.5137939453125,0.9571110010147095,206.980224609375,267.17718505859375,0.9305439591407776
32,200.3302459716797,172.70721435546875,0.9333900809288025,203.38357543945312,222.57794189453125,0.9535709023475647,206.09765625,266.9150085449219,0.9276590347290039
33,199.78262329101562,174.6509246826172,0.9195470213890076,204.18275451660156,223.09683227539062,0.9546076655387878,206.17434692382812,267.11151123046875,0.934404730796814
