scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,198.49940490722656,172.64817810058594,0.9410171508789062,202.27511596679688,223.21043395996094,0.9604514837265015,205.489501953125,267.1912841796875,0.9281554818153381
44,198.7846221923828,172.64817810058594,0.9372127652168274,202.38304138183594,223.44210815429688,0.9619043469429016,205.67095947265625,267.1912841796875,0.9271658062934875
45,199.2017059326172,172.84228515625,0.9488548040390015,202.63265991210938,223.44210815429688,0.9627705216407776,205.67095947265625,267.1912841796875,0.9235535264015198
46,199.28106689453125,173.1524200439453,0.9423055052757263,202.9903106689453,223.4427947998047,0.9620257019996643,205.94505310058594,267.6948547363281,0.9263063669204712
47,199.28106689453125,173.1524200439453,0.9412251710891724,203.1868133544922,223.4427947998047,0.9593676328659058,205.99771118164062,267.0337219238281,0.9295971989631653
48,199.58522033691406,173.1850128173828,0.9277188181877136,203.76516723632812,223.4427947998047,0.9585130214691162,206.15460205078125,267.005615234375,0.9320700168609619
49,200.24740600585938,173.1524200439453,0.9268865585327148,204.93881225585938,224.31903076171875,0.957771897315979,206.70498657226562,267.005615234375,0.9274423718452454
50,201.1237335205078,174.12428283691406,0.9072271585464478,205.5544891357422,225.050537109375,0.9689679145812988,206.71839904785156,267.6948547363281,0.9377984404563904
51,201.19024658203125,174.607666015625,0.8981255888938904,206.50575256347656,225.20751953125,0.9788563251495361,206.80978393554688,267.2786560058594,0.937821626663208
52,202.42210388183594,175.39352416992188,0.8929744362831116,206.76126098632812,225.5442352294922,0.9827356338500977,206.99166870117188,267.2786560058594,0.9544897079467773
53,203.52926635742188,175.80804443359375,0.9136852025985718,206.8223114013672,225.59303283691406,0.9787582159042358,207.7857208251953,267.5828552246094,0.9455998539924622
54,203.73675537109375,175.9436492919922,0.9184743165969849,207.17922973632812,225.6515655517578,0.9787304997444153,208.0500030517578,267.3486022949219,0.9393966197967529
55,204.18324279785156,176.0216827392578,0.9290724396705627,207.7510528564453,225.65463256835938,0.9859958291053772,208.7325439453125,267.3486022949219,0.9458234906196594
56,204.47438049316406,175.9436492919922,0.9142578840255737,208.3500518798828,225.86985778808594,0.9824720621109009,209.29344177246094,267.5828552246094,0.9470171928405762
57,204.47438049316406,176.0216827392578,0.9128790497779846,208.3500518798828,225.86985778808594,0.9847635626792908,209.34156799316406,267.65301513671875,0.9472430348396301
58,204.18324279785156,176.0216827392578,0.9184150099754333,208.0417938232422,225.86985778808594,0.9859177470207214,209.709228515625,267.8747253417969,0.9412683248519897
59,203.974365234375,176.19435119628906,0.9027144908905029,208.3500518798828,226.55833435058594,0.9835193753242493,210.0142364501953,268.01165771484375,0.9380906224250793
60,203.974365234375,177.13150024414062,0.9083127379417419,208.0417938232422,227.0011749267578,0.9828271865844727,210.0142364501953,268.4444885253906,0.9414129853248596
61,203.7781982421875,177.36973571777344,0.9405114650726318,208.00221252441406,227.71453857421875,0.9888083338737488,209.709228515625,269.0906982421875,0.9418243169784546
62,203.79373168945312,178.2689666748047,0.9201658368110657,208.0417938232422,228.0664520263672,0.9848939776420593,209.03797912597656,269.2466735839844,0.9315201044082642
63,203.79373168945312,179.30789184570312,0.9262092709541321,207.88279724121094,228.28173828125,0.9839577674865723,208.62403869628906,269.2466735839844,0.9319061040878296
64,203.3515625,179.47625732421875,0.9264969229698181,207.71810913085938,228.63406372070312,0.9845249056816101,208.0879364013672,269.0906982421875,0.9119978547096252
65,203.2434844970703,179.68496704101562,0.9315720796585083,207.71810913085938,228.81253051757812,0.9838197827339172,208.0879364013672,269.468505859375,0.9279268383979797
66,203.14817810058594,179.9401397705078,0.9251487851142883,207.59091186523438,229.09640502929688,0.9827248454093933,208.0879364013672,269.468505859375,0.9434965252876282
67,202.66905212402344,179.9401397705078,0.9268554449081421,207.48538208007812,229.14291381835938,0.9841955900192261,208.0879364013672,269.468505859375,0.9462565779685974
68,202.55374145507812,179.47625732421875,0.9289500117301941,207.48538208007812,229.3267364501953,0.9827417731285095,208.1785888671875,269.781494140625,0.9549118280410767
69,201.9337615966797,179.9401397705078,0.9308163523674011,207.5089111328125,230.36947631835938,0.9833496809005737,208.1785888671875,269.781494140625,0.9536691308021545
70,201.9337615966797,179.96376037597656,0.926027774810791,207.48538208007812,230.45887756347656,0.9818191528320312,208.1785888671875,270.0612487792969,0.9576677083969116
71,201.9337615966797,181.1573028564453,0.938269853591919,207.4300537109375,230.49569702148438,0.9849001169204712,207.56561279296875,270.0798645019531,0.9554511904716492
72,202.72479248046875,181.86024475097656,0.943337619304657,207.42340087890625,231.27197265625,0.9770817160606384,208.1785888671875,270.46246337890625,0.9656659960746765
73,202.72479248046875,181.86024475097656,0.9456498026847839,207.42340087890625,231.27197265625,0.977871835231781,208.258056640625,270.9797668457031,0.9596530795097351
74,202.72479248046875,181.86024475097656,0.9432395100593567,207.42340087890625,231.27197265625,0.9774726629257202,208.43324279785156,271.01629638671875,0.9588382244110107
75,202.68734741210938,181.86024475097656,0.94004225730896,207.4461212158203,231.27197265625,0.9784324169158936,208.51026916503906,270.9797668457031,0.9616411328315735
76,202.49510192871094,181.86024475097656,0.9370847344398499,207.5445098876953,231.27197265625,0.9770994782447815,208.62535095214844,270.8356018066406,0.9652050733566284
77,202.38458251953125,181.65284729003906,0.9409699440002441,207.68911743164062,231.3791046142578,0.9765172004699707,208.85586547851562,270.91302490234375,0.9654192328453064
78,202.2241668701172,181.58062744140625,0.9401857256889343,207.80055236816406,231.3791046142578,0.9791567325592041,209.26373291015625,270.8356018066406,0.965667724609375
79,202.38458251953125,181.5960693359375,0.9394110441207886,207.818359375,231.3791046142578,0.9787750244140625,209.26373291015625,270.7316589355469,0.9668015241622925
80,202.38458251953125,181.5960693359375,0.9400389790534973,207.84176635742188,230.74522399902344,0.9832400679588318,209.0323944091797,270.5648193359375,0.962407112121582
81,202.73374938964844,181.5528564453125,0.939937949180603,208.09527587890625,230.64454650878906,0.9841033220291138,209.26373291015625,270.3948059082031,0.9594371914863586
82,202.73374938964844,181.5528564453125,0.9451279640197754,208.09527587890625,230.64454650878906,0.9833492040634155,209.0323944091797,270.3948059082031,0.9676870107650757
83,202.73374938964844,181.5960693359375,0.9423753619194031,208.09527587890625,230.74522399902344,0.9816439747810364,208.50750732421875,270.5648193359375,0.9649410843849182
84,202.71885681152344,181.5528564453125,0.9256258010864258,207.84353637695312,231.32537841796875,0.975272536277771,208.48516845703125,270.99658203125,0.9696438312530518
85,202.71885681152344,181.5528564453125,0.9274675250053406,207.84353637695312,231.32537841796875,0.9765824675559998,208.46963500976562,270.99658203125,0.9662482738494873
86,202.71885681152344,181.57423400878906,0.9223319292068481,207.84353637695312,231.32537841796875,0.9724917411804199,207.3232421875,270.99658203125,0.9611729383468628
87,202.8609161376953,182.212646484375,0.9258841872215271,207.8554229736328,231.25637817382812,0.9764657020568848,207.3232421875,270.99658203125,0.9508834481239319
88,202.8609161376953,182.1649627685547,0.9316115975379944,207.8554229736328,231.17567443847656,0.9780529737472534,207.3232421875,270.99658203125,0.9512502551078796
89,203.11094665527344,182.32125854492188,0.9345234632492065,207.8554229736328,231.03953552246094,0.9773799777030945,206.81881713867188,271.0518798828125,0.9614319205284119
90,203.11094665527344,182.77438354492188,0.9399852752685547,207.2994842529297,231.03953552246094,0.9789881706237793,207.072998046875,271.0518798828125,0.9558608531951904
91,202.845458984375,182.77438354492188,0.9376664757728577,206.68479919433594,231.03953552246094,0.9757534265518188,207.072998046875,271.0518798828125,0.9569652676582336
92,202.79734802246094,182.86402893066406,0.9349918961524963,206.4393310546875,231.03953552246094,0.9707998633384705,206.94898986816406,270.4357604980469,0.9552037715911865
93,202.79734802246094,182.90614318847656,0.935961902141571,206.0237579345703,231.03953552246094,0.9739887714385986,206.49383544921875,270.3193054199219,0.9512547850608826
94,202.79734802246094,182.86402893066406,0.9393371939659119,206.0237579345703,231.23114013671875,0.9726399183273315,206.94898986816406,270.3193054199219,0.9541869759559631
95,203.07196044921875,182.80674743652344,0.9387110471725464,205.67459106445312,230.9155731201172,0.9675113558769226,206.49383544921875,270.3193054199219,0.9439229965209961
96,203.07196044921875,182.80674743652344,0.9446948766708374,204.30572509765625,230.51202392578125,0.9640879034996033,206.02432250976562,271.5355224609375,0.9689920544624329
97,203.07196044921875,182.46347045898438,0.9394132494926453,203.9873046875,230.35519409179688,0.9598874449729919,206.01638793945312,271.5355224609375,0.9649693369865417
98,202.2593994140625,182.38763427734375,0.9300129413604736,203.96763610839844,230.35519409179688,0.958749532699585,205.7708282470703,271.5355224609375,0.9633488655090332
99,200.68582153320312,180.43455505371094,0.9325995445251465,203.9452362060547,230.35519409179688,0.960514485836029,204.92393493652344,271.3730163574219,0.9521178007125854
100,200.6764373779297,180.33889770507812,0.934319794178009,203.9452362060547,230.51202392578125,0.9601291418075562,204.92393493652344,271.3730163574219,0.9536247849464417
101,200.3652801513672,180.33889770507812,0.9374974370002747,203.85545349121094,230.35519409179688,0.9580664038658142,204.92393493652344,271.3014831542969,0.9504473209381104
102,200.3652801513672,180.43455505371094,0.9379019141197205,203.697021484375,230.27951049804688,0.9581485986709595,205.19287109375,271.3014831542969,0.9563027024269104
103,200.3652801513672,181.0645751953125,0.9434701204299927,203.697021484375,230.5522918701172,0.960567831993103,205.26107788085938,271.3014831542969,0.9613633155822754
104,202.88131713867188,182.78652954101562,0.9377819895744324,205.91290283203125,232.06942749023438,0.9635989665985107,205.32432556152344,271.1021728515625,0.9521716237068176
